Year,Total Revenue,Cost of Revenue,Gross Profit,Operating Income,Interest Expense,Net Income
2024," 184,992,000,000.00 "," 169,486,000,000.00 "," 15,506,000,000.00 "," 5,219,000,000.00 "," 1,136,000,000.00 "," 5,879,000,000.00 "
2023," 176,191,000,000.00 "," 160,031,000,000.00 "," 16,160,000,000.00 "," 5,458,000,000.00 "," 1,318,000,000.00 "," 4,347,000,000.00 "
2022," 158,057,000,000.00 "," 140,893,000,000.00 "," 17,164,000,000.00 "," 6,276,000,000.00 "," 1,282,000,000.00 ","-1,981,000,000.00 "
2021," 136,341,000,000.00 "," 119,903,000,000.00 "," 16,438,000,000.00 "," 4,523,000,000.00 "," 1,803,000,000.00 "," 17,937,000,000.00 "
